month,channel,spend_inr
2025-01,Paid Social,849076.66
2025-01,Organic Search,139781.11
2025-01,Referral,84725.96
2025-01,Influencer,477513.6
2025-01,Email/Push,57383.94
2025-02,Paid Social,1016374.06
2025-02,Organic Search,165792.81
2025-02,Referral,75073.39
2025-02,Influencer,346236.93
2025-02,Email/Push,59963.27
2025-03,Paid Social,1062565.93
2025-03,Organic Search,127504.57
2025-03,Referral,84531.38
2025-03,Influencer,405151.09
2025-03,Email/Push,63953.27
2025-04,Paid Social,945256.07
2025-04,Organic Search,137300.11
2025-04,Referral,87195.91
2025-04,Influencer,392005.2
2025-04,Email/Push,54949.26
2025-05,Paid Social,866827.86
2025-05,Organic Search,142606.72
2025-05,Referral,74421.65
2025-05,Influencer,354725.12
2025-05,Email/Push,70118.39
2025-06,Paid Social,1079164.57
2025-06,Organic Search,162723.87
2025-06,Referral,93208.21
2025-06,Influencer,406824.98
2025-06,Email/Push,53529.56
2025-07,Paid Social,957991.81
2025-07,Organic Search,132260.77
2025-07,Referral,70313.71
2025-07,Influencer,474275.95
2025-07,Email/Push,69906.61
2025-08,Paid Social,1012020.88
2025-08,Organic Search,157829.16
2025-08,Referral,87751.35
2025-08,Influencer,381851.17
2025-08,Email/Push,61188.49
2025-09,Paid Social,1008024.33
2025-09,Organic Search,154026.41
2025-09,Referral,92564.14
2025-09,Influencer,398632.89
2025-09,Email/Push,51084.59
2025-10,Paid Social,966634.48
2025-10,Organic Search,136976.3
2025-10,Referral,79617.65
2025-10,Influencer,368817.14
2025-10,Email/Push,67428.14
2025-11,Paid Social,986422.17
2025-11,Organic Search,165515.38
2025-11,Referral,79935.09
2025-11,Influencer,432141.38
2025-11,Email/Push,52617.71
2025-12,Paid Social,842863.15
2025-12,Organic Search,133785.4
2025-12,Referral,89220.45
2025-12,Influencer,422261.48
2025-12,Email/Push,53353.3
