signup_month,0,1,2,3,4,5,6,7,8,9,10,11
2025-01,1.3,4.9,3.8,3.8,2.5,3.0,3.2,2.8,2.9,2.0,3.6,3.6
2025-02,1.5,4.2,3.1,3.1,4.1,3.9,4.2,2.9,4.2,2.3,4.4,
2025-03,2.8,3.1,3.4,3.3,3.7,4.9,4.2,4.3,4.5,4.0,,
2025-04,2.7,6.4,3.3,4.8,4.8,5.3,2.9,5.8,3.9,,,
2025-05,1.6,4.5,5.2,5.3,5.5,4.2,4.8,5.2,,,,
2025-06,2.5,4.4,5.9,5.6,5.4,5.6,6.2,,,,,
2025-07,3.0,7.9,6.8,6.2,4.4,5.6,,,,,,
2025-08,3.2,8.3,10.2,6.7,7.6,,,,,,,
2025-09,6.2,12.0,9.4,11.4,,,,,,,,
2025-10,7.6,13.0,13.6,,,,,,,,,
2025-11,8.9,23.2,,,,,,,,,,
2025-12,30.8,,,,,,,,,,,
