month,revenue_inr,orders,aov_inr,return_rate_%,repeat_purchase_rate_%,new_users,total_spend_inr,cac_inr
2025-01,16465.1,9,1829.46,11.11,0.0,690,1608481.27,2331.13
2025-02,80909.69,45,1797.99,13.33,6.67,613,1663440.46,2713.61
2025-03,117898.33,72,1637.48,19.44,2.78,672,1743706.24,2594.8
2025-04,157250.59,86,1828.5,13.95,9.3,692,1616706.5499999998,2336.28
2025-05,196334.76,116,1692.54,14.66,6.9,694,1508699.74,2173.92
2025-06,258537.11,147,1758.76,17.01,12.93,682,1795451.19,2632.63
2025-07,345541.01,195,1772.01,17.95,14.36,661,1704748.85,2579.05
2025-08,476262.94,270,1763.94,12.59,15.93,686,1700641.05,2479.07
2025-09,611244.79,340,1797.78,14.71,19.12,641,1704332.3599999999,2658.86
2025-10,699613.29,405,1727.44,13.83,18.02,654,1619473.71,2476.26
2025-11,829417.5,481,1724.36,13.93,18.5,660,1716631.73,2600.96
2025-12,1526351.23,863,1768.66,15.41,22.6,655,1541483.78,2353.41
