user_id,event_date,category,device,event_type,order_value,returned
U100000,2025-10-30,Footwear,Mobile Web,view,,
U100000,2025-11-28,Western Wear,Mobile Web,view,,
U100000,2025-10-01,Ethnic Wear,Desktop,view,,
U100000,2025-07-07,Ethnic Wear,Mobile App,view,,
U100000,2025-05-12,Western Wear,Desktop,view,,
U100001,2025-12-29,Kids,Mobile Web,view,,
U100001,2025-12-29,Kids,Mobile Web,add_to_cart,,
U100001,2025-12-29,Accessories,Mobile App,view,,
U100001,2025-12-27,Kids,Mobile App,view,,
U100001,2025-12-21,Ethnic Wear,Mobile App,view,,
U100001,2025-12-15,Kids,Mobile Web,view,,
U100001,2025-12-15,Kids,Mobile Web,add_to_cart,,
U100002,2025-10-13,Western Wear,Desktop,view,,
U100002,2025-12-11,Accessories,Mobile Web,view,,
U100002,2025-12-11,Accessories,Mobile Web,add_to_cart,,
U100002,2025-12-11,Accessories,Mobile Web,checkout,,
U100002,2025-12-21,Kids,Mobile App,view,,
U100002,2025-12-21,Kids,Mobile App,add_to_cart,,
U100002,2025-12-21,Kids,Mobile App,checkout,,
U100002,2025-12-21,Kids,Mobile App,purchase,3219.03,0.0
U100002,2025-10-10,Beauty,Mobile Web,view,,
U100002,2025-10-10,Beauty,Mobile Web,add_to_cart,,
U100002,2025-10-10,Beauty,Mobile Web,checkout,,
U100003,2025-05-25,Accessories,Mobile App,view,,
U100003,2025-08-26,Beauty,Mobile Web,view,,
U100003,2025-11-09,Western Wear,Desktop,view,,
U100003,2025-11-09,Western Wear,Desktop,add_to_cart,,
U100003,2025-09-09,Beauty,Mobile Web,view,,
U100004,2025-04-24,Footwear,Desktop,view,,
U100004,2025-04-24,Footwear,Desktop,add_to_cart,,
U100004,2025-04-06,Accessories,Mobile App,view,,
U100004,2025-04-06,Accessories,Mobile App,add_to_cart,,
U100004,2025-04-06,Accessories,Mobile App,checkout,,
U100004,2025-04-06,Accessories,Mobile App,purchase,2980.72,0.0
U100004,2025-08-27,Beauty,Mobile App,view,,
U100004,2025-08-27,Beauty,Mobile App,add_to_cart,,
U100004,2025-08-27,Beauty,Mobile App,checkout,,
U100004,2025-08-27,Beauty,Mobile App,purchase,1501.55,0.0
U100004,2025-08-21,Accessories,Mobile Web,view,,
U100004,2025-06-09,Western Wear,Mobile App,view,,
U100005,2025-08-14,Ethnic Wear,Mobile App,view,,
U100005,2025-12-17,Beauty,Mobile App,view,,
U100005,2025-12-17,Beauty,Mobile App,add_to_cart,,
U100005,2025-12-17,Beauty,Mobile App,checkout,,
U100005,2025-12-17,Beauty,Mobile App,purchase,1453.66,0.0
U100005,2025-07-11,Ethnic Wear,Mobile App,view,,
U100005,2025-09-26,Kids,Mobile App,view,,
U100006,2025-09-07,Ethnic Wear,Mobile App,view,,
U100006,2025-09-07,Ethnic Wear,Mobile App,add_to_cart,,
U100006,2025-09-07,Ethnic Wear,Mobile App,checkout,,
U100006,2025-09-07,Ethnic Wear,Mobile App,purchase,592.72,0.0
U100006,2025-07-03,Kids,Mobile Web,view,,
U100006,2025-06-21,Footwear,Desktop,view,,
U100006,2025-05-19,Accessories,Desktop,view,,
U100007,2025-12-23,Kids,Mobile App,view,,
U100007,2025-10-06,Kids,Mobile App,view,,
U100007,2025-10-06,Kids,Mobile App,add_to_cart,,
U100007,2025-04-26,Western Wear,Mobile App,view,,
U100007,2025-04-15,Beauty,Mobile App,view,,
U100007,2025-04-15,Beauty,Mobile App,add_to_cart,,
U100008,2025-12-12,Ethnic Wear,Mobile App,view,,
U100008,2025-12-12,Ethnic Wear,Mobile App,add_to_cart,,
U100008,2025-12-12,Ethnic Wear,Mobile App,checkout,,
U100008,2025-12-12,Ethnic Wear,Mobile App,purchase,2294.36,0.0
U100008,2025-05-02,Western Wear,Mobile Web,view,,
U100008,2025-05-02,Western Wear,Mobile Web,add_to_cart,,
U100008,2025-05-02,Western Wear,Mobile Web,checkout,,
U100008,2025-05-02,Western Wear,Mobile Web,purchase,4558.87,0.0
