user_id,signup_date,region,device_pref,acquisition_channel,signup_month
U100000,2025-04-13,North,Desktop,Referral,2025-04
U100001,2025-12-15,South,Mobile Web,Influencer,2025-12
U100002,2025-09-28,North,Mobile App,Paid Social,2025-09
U100003,2025-04-17,West,Mobile App,Paid Social,2025-04
U100004,2025-03-13,North,Mobile Web,Paid Social,2025-03
U100005,2025-07-08,West,Mobile App,Paid Social,2025-07
U100006,2025-01-21,East,Desktop,Organic Search,2025-01
U100007,2025-04-13,North,Mobile App,Influencer,2025-04
U100008,2025-05-02,East,Mobile Web,Paid Social,2025-05
U100009,2025-08-03,North,Mobile App,Referral,2025-08
U100010,2025-11-27,South,Mobile App,Organic Search,2025-11
U100011,2025-03-29,North,Mobile App,Paid Social,2025-03
U100012,2025-04-10,West,Mobile App,Organic Search,2025-04
U100013,2025-12-26,West,Mobile App,Paid Social,2025-12
U100014,2025-06-01,North,Mobile App,Referral,2025-06
U100015,2025-05-11,North,Mobile App,Paid Social,2025-05
U100016,2025-05-30,East,Mobile App,Referral,2025-05
U100017,2025-11-05,North,Desktop,Paid Social,2025-11
U100018,2025-09-15,West,Mobile App,Email/Push,2025-09
U100019,2025-12-10,South,Mobile App,Influencer,2025-12
U100020,2025-10-21,South,Desktop,Organic Search,2025-10
U100021,2025-07-11,West,Mobile App,Organic Search,2025-07
U100022,2025-10-04,South,Mobile App,Paid Social,2025-10
U100023,2025-06-10,West,Mobile App,Influencer,2025-06
U100024,2025-11-10,West,Mobile Web,Organic Search,2025-11
U100025,2025-01-22,North,Mobile App,Referral,2025-01
U100026,2025-09-10,North,Mobile App,Paid Social,2025-09
U100027,2025-08-24,West,Mobile Web,Paid Social,2025-08
U100028,2025-12-11,West,Mobile App,Organic Search,2025-12
U100029,2025-02-18,North,Desktop,Paid Social,2025-02
U100030,2025-02-28,West,Mobile App,Organic Search,2025-02
U100031,2025-06-19,South,Mobile App,Paid Social,2025-06
U100032,2025-07-07,North,Mobile Web,Influencer,2025-07
U100033,2025-09-28,West,Mobile App,Influencer,2025-09
U100034,2025-07-09,North,Desktop,Paid Social,2025-07
U100035,2025-06-24,West,Desktop,Organic Search,2025-06
U100036,2025-02-20,North,Mobile App,Organic Search,2025-02
U100037,2025-12-30,East,Desktop,Referral,2025-12
U100038,2025-02-24,North,Mobile App,Organic Search,2025-02
U100039,2025-09-01,South,Desktop,Paid Social,2025-09
U100040,2025-11-16,East,Mobile App,Paid Social,2025-11
U100041,2025-05-11,North,Mobile App,Organic Search,2025-05
U100042,2025-11-03,South,Mobile App,Email/Push,2025-11
U100043,2025-05-15,South,Mobile App,Influencer,2025-05
U100044,2025-01-21,North,Mobile App,Paid Social,2025-01
U100045,2025-11-25,West,Desktop,Referral,2025-11
U100046,2025-06-16,South,Desktop,Email/Push,2025-06
U100047,2025-10-01,South,Mobile App,Paid Social,2025-10
U100048,2025-03-30,South,Mobile App,Referral,2025-03
U100049,2025-11-12,South,Desktop,Organic Search,2025-11
U100050,2025-01-14,North,Mobile App,Referral,2025-01
U100051,2025-08-30,South,Mobile App,Organic Search,2025-08
U100052,2025-09-22,South,Mobile App,Email/Push,2025-09
U100053,2025-12-12,East,Mobile App,Paid Social,2025-12
U100054,2025-02-22,West,Mobile App,Influencer,2025-02
U100055,2025-12-06,South,Mobile Web,Paid Social,2025-12
U100056,2025-04-02,North,Mobile Web,Organic Search,2025-04
U100057,2025-09-21,North,Mobile App,Email/Push,2025-09
U100058,2025-02-04,North,Desktop,Influencer,2025-02
U100059,2025-07-25,North,Mobile App,Paid Social,2025-07
U100060,2025-03-22,South,Mobile App,Organic Search,2025-03
U100061,2025-02-19,North,Mobile App,Paid Social,2025-02
U100062,2025-12-26,North,Mobile App,Paid Social,2025-12
U100063,2025-01-02,North,Mobile App,Referral,2025-01
U100064,2025-02-23,North,Mobile App,Organic Search,2025-02
U100065,2025-04-16,North,Mobile App,Organic Search,2025-04
U100066,2025-09-17,North,Mobile App,Referral,2025-09
U100067,2025-11-06,South,Mobile Web,Organic Search,2025-11
U100068,2025-07-10,South,Mobile Web,Paid Social,2025-07
U100069,2025-08-06,North,Mobile App,Organic Search,2025-08
U100070,2025-02-13,South,Mobile Web,Influencer,2025-02
U100071,2025-06-11,South,Desktop,Influencer,2025-06
U100072,2025-07-21,North,Mobile Web,Organic Search,2025-07
U100073,2025-09-27,North,Mobile App,Paid Social,2025-09
U100074,2025-12-17,South,Mobile App,Referral,2025-12
U100075,2025-10-31,East,Desktop,Referral,2025-10
U100076,2025-09-28,North,Mobile App,Paid Social,2025-09
